,Chat_msg,sentiment,sent
172,oh okay link will be posted in annoucments right,0,
173,i have the token idk what the price is,0,
174,   ,0,
175,in   mins,0,
176, ,0,
177,any idea what mint price is,0,1
178,what time ,0,1
179,hi from ttcc,0,
180,wen is mint ,1,1
181,our own website,0,
182,are you guys excited for the mint,1,1
183,no,0,
184,on me,0,
185,starts in  hours  mins,0,1
186, broski,0,
187,i m in hawaii it s ,0,
188,how much time left for the mint,0,1
189, ,0,
191,some prefer to take a bit of profit than to diversify in this bear market to each there own,0,
192,panic from wat,0,
193,when mint,0,1
194, because of some panic holders,-1,-1
195,why the wl token very cheap,0,1
196,  savage,-1,0
197,whats poppin guys,0,0
198, talisman   mint,0,1
199,yo,0,
200,you passed the submission time,0,
201,oh boy,0,
202,  ,0,
203,very cheap the token,0,1
204,ayo,0,
205,l,0,
206,yes but i have the wl,0,1
207, when mint link,0,
209,mint public or buy a talisman off fff,0,1
211,they are listed on fff tho,0,
212,can you help me pls,0,
213,kinda late now,0,
214,ahh ok      ,0,
215,guyz if i missed the wallet submision,0,1
216,bohemia mint site,0,1
217,word,0,
218,link will be posted on ,0,
219,where is mint taking place,0,1
220,its in the pinned messages,0,0
221,you need to write the token address fam  ,0,1
222,if u have  talismans you can mint  fabulosa and so on,0,1
223,shi,0,
224, for talisman,0,
225,and do i mint from their website,0,1
226,is it available for ,0,1
227,how many can wl mint ,0,1
228,ge guys,0,
229,how do you do pleased to meet you,1,
230,nothing comes up when i type tailsman in fff ,0,-1
232,nice thx,1,
233,see ya guys,0,
234,yo remember betting on cubist collective on this mint,0,1
235,happy minting ,1,1
236,you should be able to,1,
237,hi,0,
238,can we mint on mobile with phantom ,0,1
239,right,0,
240,fabulosa is bohemia so yes,0,1
242,yapp,0,
243,is it true that if i own fabulosa nft and i can get in boheimia dao or it will be another dao,0,1
244,yes,0,
245,what it wl token talisman,0,1
246,mint  sol token  total ,0,1
247,happy to miny,1,1
248,wassup frens,0,
249,pinned messages,0,
250,what is the token called on fff,0,
251,cant wait to mint mine,1,1
252,who wants to sell me a master guru for  sol,0,1
253, yup,0,
254,fp so low,-1,-1
255,thank you buddy,1,
256, sol ,0,
257,is it true that if i own fabulosa nft and i can get in boheimia dao or it will be another dao,0,1
258,ok thanks,1,
259,pinned messages,0,
260,can you send me the token address bro,0,1
261,im afraid its too late now for that,-1,
262, or so,0,
263,look it up,0,
264,link mint sir ,0,1
265,how much is it on famous fox,0,1
266,list it fam,0,1
267,on famous fox federation,0,1
268,you can buy on fff token ,0,1
269,wagboo,0,1
270,read the manuscript  to have a clear vision  ,0,
271,anyone wanna buy token on fff,0,1
272,   how to buy wl ,0,1
273,what is utility in another word,0,1
274,i opened a ticket hope it helps thank you,1,
275,rent to other ppl why should they rent my nft,0,1
276,hello guys,0,
277,you can rent them for woop,0,1
279,mint dayyyy,1,1
280,can you help me if i give you my wallet address now sir,0,1
281,you can find it in   we had daily reminders,0,
282,lfg,0,1
283,cant gain by staking,-1,-1
284,yo,0,
285,i dont know when exactly the sending of the bag was due,0,
286,will there be some kind of air drops to those who minted first like first ,0,1
287,fff,0,1
288,is there a legit way to sell the wl token,0,1
289,hype,0,1
292,gm,0,
293,lfg,0,1
294,boho devs cracked for sure  ,0,1
295,thank you guys,1,
296,the token address of the talisman is ,0,1
297,correct it is pinned in the messages btw,0,
298,its pinned,0,
299,yes,0,
300,did  you submitted your wallet in time ,0,1
301,anyone can confirm ,0,
302,ye defo a bad time for minting boho devs are pretty good tho,1,1
303,howdy,0,
305,insya allah maxxbohemia moon,0,1
306,token addy,0,
307,unfortunately not there sir,-1,
310,me to fam ,0,
311,what s the token,0,
313,be active friendly and helpful with twitterpromoting,1,
314,me to fam ,0,
315,hahah kidding iam very ready for mint,1,1
316,is it token based ,0,1
317,good morning fam,1,
318,gn,0,
319,thats for top raiders,0,
320,how u get role x,0,1
321,im betting  sol down on this mint on cubist collective gl,0,
322,good morning all,1,
323,check at nft collection not where your sol is,0,
324,i have one quick job then back for mint see you all soon,0,
325,yo,0,
326,sure probably i will delist wl token and see what happens during mint,0,1
327,token is not showing in my wallet can you help me,-1,-1
328,it will be posted in   boho,0,
329,youre the only one who can figure that out,0,
330,better to buy a token and youre stress free,0,
331,im sure you doing great work just trying to figure out if its going to work for me rn,0,
332, utc will be published in ,0,
333,fam whats the link for the mint what time is it just saw chat will be closed in  mins,0,1
334,over,0,
335,i hope i still have,0,
336,thanks,0,
337,is the token sending still in progress,0,1
338,im not feeling forced brother im just sharing my impressions dont feel compromised to give me an answer,0,
339,the token address of the talisman is ,0,1
340,full wl yes,0,
341,wheres the token address,0,
342,solscan,0,
343,hmmm i get you,0,
344,slope fucking sucks,-1,-1
345,lul,0,
346,where it was sent from,0,
347,where do i check,0,
349, ,0,
350,sometimes you gotta risk it for the biscuit,0,
351,okeey full wl or not ser ,0,1
352,you don t need to work hard for money nothing in nature works hard instead it s just about adding value and contributing good to society being joyful being open to receive feeling gratitude and feeling rich do these things and the money flows in,1,
353,what,0,
354,as i told you before do your own considerations we are a well established project which builded and keeps to build as we speak we  need to force you to do anything you dont feel like  ,0,
355,kk,0,
356,hi,0,
357,i know just sharing what i think,0,
358,yes,0,
359, ,0,
360,hey guys question  if someone buys a talisman token off fff can they mint fabulousa,0,1
361,noice ,0,
362,people selling on fff,0,1
363,how many hours is mint wl sir,0,1
364,no one knows,0,
365,gotta do what you think is best,0,
366,brother if you have doubts nobody is forcing you to mint,0,-1
367,do you like biscuits though,0,
368,i want more ,1,1
369,tweet about fabulosa to build more hype,0,1
370,if i get stucked here i have no liquidity for degen sweepers dont you think its risky to mint in this condition,-1,-1
371, per talisman,0,1
372,yes sir,0,
373,you should,0,
374,only  ,0,
375,no sir,0,
376,hahah,0,
377,hey,0,
378,i dont what the fuck to do,-1,-1
379,the tokens are sending or finish,0,
380,maybe i have to delist my talisman from fff,0,-1
381,guys with one talisman can i mint  ,0,1
382,fam,0,
383,yes,0,
384,i see thanks fam,1,
385,are wl  guaranteed mint,0,1
386,both of em,0,
387,how many are wl,0,
388,bofem,0,
389,bohemia holders or non holders,0,
390,based on the requests yes,0,
391,lets build the hype,0,1
392,i started rading already for fabulosa    ,0,1
393,i heard foxy is better,0,
394,i ve asked a lot of people if they were minting and they all said  so,0,1
395,fam where shall i do  trade now foxy or yawww is any of them down today,0,
396,the vibes,0,
397,lfg,0,1
398,no one knows i know but,0,
399,gm,0,
400,do you expect a quick sold out,0,1
401,they said so,0,
402,yep,0,
403,guys do you believe in magic ,0,
404,httpswwwfabulosaio,0,
405,not listing untill selling out,0,1
406,if everybody with a talisman mints one then there would be non left for public,0,1
407,what is fabulosa,0,
409,hard to tell the mint will take place on bohemia own mint site they will post the link at  utc,0,1
410,how many will be left for public to mint and where will mint take place,0,
411,lfg,0,1
412,lfg,0,1
413,lfg,0,1
414,lfg,0,1
415,perfect ,1,1
416,hahahah thats true im shouting my mouth then,0,
417,and it is just to prevent fudding  and scam links  ,0,
418,oh okay,0,
420, hours actually,0,
421,hahahahahaha you just dont shit where you eat,-1,
422,wingardium leviosa,0,
423,mint  sol token  total ,0,1
424,why closing chat  hrs before mint  ,0,
425, where is my wl,0,1
426,sorry mate just trying to put all cards over the table do you want to flip too huh not to hold hahaha  ,0,1
427,hello fam,0,
428,why closing chat  hrs before mint,0,
430,yes,0,
431,hmm,0,
432,how many can wl mint,0,1
433,do you believe in magic  ,0,
434,gm,0,
437, ,0,
438,what s fp,0,
439,good morning guys,1,
441,gm,0,
442,gotchu,0,
443,same as the fabulosa supply  ,0,1
444,check pinned messages,0,
445,how many tokens are there sir,0,1
446,hey,0,
447,you will be able to rent it out for woop,0,1
448,though no smart thing to do before the minteven if you just want quick flip save the honesty please ,0,1
449,whats the ticker,0,
450,stakers of new collection will receive woop token,0,1
451,guaranteed,0,1
452,or oversupply token,-1,1
453,is token guaranteed mint,0,1
454,on fff,0,1
455,on fff,0,1
456,can we grab another talisman from secondary where are they trading,0,1
457,how many whitelist tokens are there,0,1
458,between  and   each raffle for non bohemia holders so i think if you are not one of them rent a fabulosa is just the only good trade im sorry im justr trying to be honest but respectful no fud,0,
459,guys,0,
460,mint is in sol for everyone,1,1
461,sol,0,
462,idk that bro,0,
463,hey,0,
465, holder also pay sol or some staked token,0,
467,woopwoop,-1,1
468, hrsss  ,0,
469,for wl  and public ,0,1
470,cant wait,1,1
471,hahah,0,
472,yoyoyoyo,0,
473,what the upcoming nft mint price,0,1
474,i will go to the course today,0,
475,tba,0,
476,if i rent my fabulosa i will be paid with woop how much,0,1
477,letsgoo mint   ,0,1
478,seems like theres something more to come,0,
480,for woop,0,
481,aight   ,0,
482,you will also be able to rent your fabulosa out,0,1
483,you can check more info on ,0,
484,it is well explaine in the manuscript  fam  ,1,
485,cool,1,
486,more util,0,
487,sup,0,
488,lfg,0,1
489,just got talisman,0,
490,gamified raffle system,0,
491,so this is scam,-1,-1
492,whats utility of holding fabulosa   can you say in  lines,0,
493,wen wl,0,1
494, manuscript ,0,
495,this is why i dont want to hold despite the incredible art lore and surely great prizes,-1,-1
496,damn why token so cheap,-1,1
497,where can i find the utility of fabulosa,0,
498,and with no prize guaranteed,0,
499,hi,0,
500,and i calculated the amount of woop in  and are between   each time,0,
501,but woop is relatively cheap atm,0,1
502,correct,0,
504,but i will need to buy woop for every spell i want to cast isnt it,0,
505,it is well explained in the manuscript ,1,
506,actually you dont need to hold a bohemian to benefit from fabulosa,0,
507,thanks boss,1,
508,yes,0,
509,up to you fam  ,0,
510,  is it this one sir  ,0,
511,oki,0,
513,looks airdrop check token adress in solscan,0,
514,check the address pinned in the messages,0,1
515,so i dont know if i have to mint or not,0,-1
516,did i got airdrop or is it scam,0,
517,honestly i think its a good project for bohemia holders but im not holding bohemia so i probably wont hold fabulosa but if it reaches a good fp it would be a good flip,1,1
518,beware scamer,0,
520, ,0,
521,solana nftnothing is secured herebut at least this project is very good stablished,1,1
523,oh i see thanks you for your time,1,
524,so happy,1,
525,got my wl,0,1
526,people thar are sure and confident to mint or skeptical like me,0,
527,token address is on the pinned messages,0,1
529,what s token,0,
530,me too mate,0,
531,where can i buy this in fff guys,0,1
532,every dao i m in aren t  ,0,-1
533,hii have a good day,1,
534,every dao im in,0,
535,barely anyone talking about it tbh,0,-1
536,where my man where people are talking,0,
537,sure,0,
538,i think we got a chance,1,1
539,fabulosa is literally the only mint everyones talking about today,0,1
540,can we buy talisman on fff,0,1
541,was thinking the same,0,
542,i dont see activity here not too much reactions in announcements or twitter posts idk im a bit skeptical,-1,-1
543,unreal,-1,
544,so yall dumping ur bohe,0,-1
545,minimumi hope it reach like  minutes after,0,
546,what s token fp,0,1
547,very,0,
548,buddy how is  possible,0,-1
549,bohemia are at ,0,
550,sellout possible,-1,1
551, minimum,0,
552,fp,0,
553,search on ,0,
554,anyone can send the token address,0,
555,yeah hi is running crazy,0,
556,chill homie,0,
557,does rank will have effect,0,
558,suck my ass,-1,-1
559,are you crazy mf i was helping you just anwered your questions,-1,-1
560,gm all,0,
561,sheeesh,0,
562,what is the addres token,0,
563,i appreciate your advices thank you,1,
564,go fuck yourself freak,-1,-1
565,what ,0,
566,what a clown,-1,-1
567,fff,0,1
569,where to but wl,0,1
570,how many wls available,0,1
571,do you think fam that fucking dumb paperhands are going to sell fabulosas under mint price,-1,-1
572,what,0,
574,guys how many nfts are for whitelist,0,1
575,okay iam ready,0,
576, utc,0,
577,today,0,
578,wen mint,0,1
579,yeah or ill just need todo some solid flips to buy me one not that found of lending my nfts,0,1
580,hi guys,0,
582,so its good,1,
583,paperhands boost volume anyways,0,1
584,like the fp is  and over an all the bear market thats insane,-1,
585,but itll push past that,0,
586,ofc ppl will want profits,0,0
587,im gonna be ,0,
588,it might happen but bohos have a talent to thin out the flippers and stick with the diamond hands,0,
589,valid af,-1,
590,u can lend your fabolusa to bohemia owner,0,
591,i just noticed that i need to buy woop to cast a spell as i dont own a bohemian,-1,
592,it s possible get wl already,0,1
593,but how about paperhands that minted  bruh and those who want profit that had airdrops  ,0,
594,hi guys gm,0,
595,hi fam,0,
596,very possible,0,
597,i think more,0,
598,hi guys new here was wondering how many people are white listed ,0,1
599,token base,0,
600,will let it below,0,
601,no one that mints for ,0,1
602,its obvs gonna hit  sol,0,1
603,where ,0,
604,so stupid,-1,-1
605,fabulosa mint key,0,1
606,come on everybody,0,
607,excelent price for this wanting to secure a fabulousa mint,1,1
608,hello,0,
609,whats selling for ,0,1
610, ,0,
612,how much are they selling for,0,1
614,this is too confusing,-1,-1
615,do i have to finger myself while i trade herbs,0,-1
616,keep reading,0,
617,what does that even mean,-1,-1
618,what,0,
619,i tunnel vision that,0,
620,wonder why ppl sell so low  ,-1,-1
621,have to spend woop on herbs to cast spells,0,
623,not quite that simple,0,
624,wagmii,0,1
625,thx,0,
626,guys is listing gonna be after sold out or what ,0,1
627,gm,0,
628,think so correct address is pinned,0,
629,hettt,0,
630,id that the corect adress,0,
632,gm,0,
633,ofc,0,
634,art is nice too,1,1
635,art is hot af haha,1,1
636,also,0,
637,for having fabulosa,0,
638,they just give u shit,-1,-1
639,so basically,0,
640,v,0,
641,also recommend reading the manuscript in  ,1,
642,gamefied raffle but more coming later,0,
645,whats fabulosa utility,0,
646,ye true,0,
647,lul,0,
648,i am new here i would like to know the usefulness of fabulosa nft is it a real nft project or is it a product that completes the bohemia collection  thx guys im actually excited,1,1
650,is this wl hard to get,0,1
651,yo yo,0,
652,i got a meeting earlier and now just chilling here ahahah where are you from,0,
653,where can i see the utility of fabulosa sir,0,1
654,thank you sir ill be lurking on eden until then  ,1,
655,hahaha,1,
656,one mint per talisman,0,1
657,theres  talismans for  fabulosas,0,
658,we ball,0,
659,fuck it,-1,
660,imo,0,
661,its profit either way for all wl,0,1
662,hmm,0,
663,yes,0,
664,or no,0,
665,public  more than ,0,
666,i can get ,0,
667,unminted wl will go public,0,1
668,then im not worried wtf,0,
669,oh,0,
670, per talisman,0,
671, for all,0,
672,one,0,
673,how many can whitelists mint each,0,1
674,but how many per talisman,0,
675,not sure therell be much left for public,0,
676,is there a guaranteed public mint,0,
677,ik i could just read about it,0,
679,if you have wl you should be pretty safe,1,1
681,the paperhanders will soon be out,0,
682,gm,0,
684,whats wl token address,0,1
685,gurus got wl token talisman,0,1
686,so do i have to worry about bots,0,1
687,yep but no one got fabulosas dropped yet,0,-1
688,our own candy machine will be announced on  only,0,
689,is it launching on,0,
690, what platform,0,
692,gm hope you guys excited for the minting,1,1
693,the whole supply of fabulosa is  right including airdropping it to guru masters,1,1
694,welcome back bro ,1,
695,then ill make the tough call,0,
696,just waiting for my wl,0,1
697, til mint right,0,1
698,yeah i suppose so,0,
699,can bebut if you back an established project then the gambling aspect is less i feel,0,
700,token fp rightnow,0,1
701,iam back i miss the bohemia,0,
702,lfg,0,1
703,this,0,
704,lfg,0,1
705, ,0,
706,is just gambling,-1,-1
707,solana nfts,0,1
708,and grats on your goth degen dont think anyone saw those poppin off quite the way they did,-1,-1
709,i swear,0,
710,is it legit,0,
711,hey does anyone know about the connect  collablland  site for swapping nfts for sol and vice versa,0,
712,yeap those be the tough calls you gotta make fire yourself in this space  all fun tho ,1,
713,gm,0,
714,lul,0,
715,for liq,0,
716,i gotta sell my gothic degen,0,
717,yeah but that means,0,
718,yeah but check out fp on gen   mint price is fair i reckon for an established collection like  bohos,0,
719,morning guys,0,
720,woop woop,0,1
721,gm,0,
722,we are going to spread information about this community everywhere,1,1
723,no wl yet  ,0,-1
724,no info on that yet,0,
725,even for whitelist,0,1
726,there will be renting for fabulousas staking goes for bohemians,0,1
727,so expensive,-1,-1
728,this mint,0,1
729,how are you buddy,0,
730,not right now,-1,-1
731,so no staking for fabulosa ,0,-1
732,hey these specifics are not set yet,0,
733,hey,0,
734,will i be the one to set the amount of woop to rent it out for,0,1
735,hey,0,
736,hey guys,0,
737,goodluck to us all  ,1,1
738,i will try and grab one on secondary as well,0,1
739,i think i will get more before the whale pack it all,0,
740,perfect,1,
741,one mint per token,0,1
742,not yet u can check ,0,
744,is it one mint per wallet,0,1
745,sir token still ongoinr or finish ,0,1
746,i see lol sorry thanks,0,
747,thats whitelist role u can also chekc where u get it solsteads,0,1
748,thanks im all set and ready   ,1,1
749,lfggg,0,1
750,banned,0,-1
751,the talisman master,0,
752,np,0,
753,ty,0,
754,check ur roles,0,
755,nope u can rent it for wooop,0,
757,u can ban him now,-1,-1
758,ill check within the team we had a imporsontator recently,0,-1
759,so i was msging this scammer,-1,-1
760, yo i was bored,-1,
761,hey guys i got a talisman token airdrop is it legit how i do i know if i won the raffle from which server,0,1
762, hour wl mint window too short between  and  for me so had to sell talisman on fff,-1,-1
763,do i get to earn woop by holding or staking fabulosa,0,1
764,token still ongoing ,0,1
765,hello,0,
766,hope that works,1,
767,i use slope wallet,0,1
768,i sent to samc,0,
769,were u able to send wallet,0,1
770,gm,0,
771,bro this shit is mad confusing,-1,-1
773,you owe a wl you forgot me bro,0,
774,hi,0,
775,theres also an announcement where u can check the wallet,0,1
776,hello explorers,0,
777,np,0,
778,when did u get it,0,
779,banned thanks,0,-1
780,ight,0,
781,but im not even sure if my wallet is on list as i did submission from dao giveaway  ,0,-1
783,no  ,0,
784,check ,0,
785,thanks appriciate it ,0,
786,it has the same value as the public mint,0,1
788,or nah,0,
789,im whitelisted here,0,1
790,so it shows,0,
791,do i verify or smth,0,
793,okay yeah,0,
794,yes,0,
795,hi is the talisman still being,0,
796,hmmmm,0,
797, ,0,
798,if your team send out the winners you will get it u can check  find the announcement before,0,1
799,if i got talisman,0,
800,how do i see,0,
801,is this right just to be sure,0,
804, dont dm me,0,
805,it has the same value as the public mint,0,1
806,  ,0,
807,whats the name of the token on fff,0,1
808,now what do i do,0,
809,i got whitelist,0,1
811,u can get one on fff  ,0,1
812,whitlist send me,0,1
817,love an active chat,1,1
818, ,0,
819,possible winnings from the reward treasury,0,
820,wahala,0,
821,i really didn t understand that part after reading,-1,-1
822,  whitlist plzz send me,0,1
824,now what,0,
825,for fabulosa,0,1
826,i got wl,0,1
827,yepvery cheap indeed,1,1
828,hi guys can we buy talismans token on fff ,0,1
829,what does the casting of spell have to offer any benefits,0,1
830,hey,0,
831,token only for only wl users ,0,1
832,yes fammm,1,
833,gm fam,0,
834,ws,0,
835,haha you know it,0,
836,our own candy machine link in  only,0,
837,its a candy machine mint  og style,0,1
838,i am mint extited long time hold plzz help,0,1
839,hmm,0,
840,fosho,0,
841,closer to mint,0,1
842,will be announced,0,
843,launchpad,0,
845,woopwoop,-1,1
847,woopwoop,-1,1
849,woopwoop,-1,1
850,hello,0,
851,ok thanks guys for the response,1,
852,get well soon fam,1,
853,wl wl wl plzz,0,1
854,zinc with vit c tablets cold and flu medicine and sudafed nasal spray helped me a tonne,1,
855,you can send it to a burner,0,
856,you can send no problem,0,
857,always use burner if you mint,0,1
858,aa,0,
859,you can,0,
860,just woke up chilling here for a while,0,
861,     hey can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped,0,1
862,     ,0,
863,gm fam just tested positive for covid will be away for a bit,0,
864,lfg,0,1
865, ,0,
866,i have token so  or ,0,
867,same mate    lfg,0,1
868,cant wait to mint   ,1,1
869,you can find the time here    but  hours right,0,
870,just over  hrs,0,
871, you are professional broi love your art,1,1
872,when will you send token wl bohemia,0,1
873, h before wlm,0,
874,can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped,0,1
875,how many hours do we have until mint  sorry am driving,0,1
876,art is one of our main priorities  is a mastermind ,1,1
877,hask,0,
878,sup,0,
879,is there anyone who can answer me,0,
880,thanks,0,
881,hey um i have a question,0,
882,thanks fam it is really pretty and sexy  wl token i have ever seen,1,1
883,sure is,0,
884,it ll be  like a gen ,0,
886,yes,0,
887,search on this ,0,
888, put address,0,1
889,hi guys sorry but im not understanding if pm and wlm are both this afternoon why is the full collection already on me,-1,-1
890,search for the token id,0,1
891,hi the new bohemia collection wl is with token,0,1
892,i searched talisman  on fff but i couldnt find that,-1,-1
894,am driving,0,
895,sold out on ,-1,-1
896,fams how many hours do we have until mint,0,
897, ,0,
898,  ,0,
899,yeahhhh,0,
900, yeah,0,
901,so if youre gonna mint in public would be better if you just buy talisman,0,1
902,will fabulosa have staking for woop ,0,1
903,gm mintdayyyy,0,1
904,its at  now,0,
905,gm,0,
906,yes theres always those selling for quick profit and not thinking of the long term ,-1,-1
907, check in announcement,0,
908,ppl are selling their wl token,0,1
909,og thx,0,1
910,lfg,0,1
911,ok sir thanks,1,
912,rank will be avaliable on moonrank as soon as they have listed us shouldnt take that long after the mint is done,0,1
913,it is pinned,0,
914,i mean rank not just seeing nft,0,1
915,please please dont paperhand this really good project,1,1
916,what is the adress,0,1
917,youll be able to see it instantly after you have minted it,0,1
918,hey guys,0,
920,make sure to use the official token address,0,1
921, get it from fff,0,
922,where to buy,0,1
923,good and reveal is right after sold out or not,0,
924,how to get a talisman,0,
925,gm,0,
926,yo,0,
927,dear admin i am blockchain developer specializing in solidity and react recently i worked as a smart contracts developer to build the smart contractsdrops auction staking marketplace  for the nft marketplace on the cronos network now i am actively looking for a new opportunity and if you are looking for a dev id like to join your team  ,1,
928,stay safe fam and happy minting  ,1,1
929,we will never dm you first  ,-1,
930,yeah straight up block,0,
931,never legit,0,
933,assume this isnt legit,-1,-1
935,gm,0,
936,the talisman yes,0,
937,is that wl token,0,1
938,heyyy,0,
939,hey,0,
940,check under collectibles in your phantom,0,
941,we already have your wallet,0,1
943,can i submit my wallet now,0,1
944,mint details anyone,0,1
945,if it has this adress   then yes,1,
946,yo,0,
947,the art here is amazing,1,1
949,is the token on fff legit,0,
950,yo,0,
951,wassup,0,
952,yes,0,
953,crazy,0,
954,woopwoop,-1,1
955,been holding for  months,0,1
956,isnt it wl token mint,0,1
957,gm y all,0,
958,hi guys,0,
959,can i submit my wallet now,0,1
960,mod,0,
961,yooo,0,
962,hi,0,
963,gm,0,
964,my boho ive been mia never staked got two bottles didnt use had stuff going on irl,0,
965, ,0,
966,big day,1,1
968,can i submit my wallet now,0,1
969,hi,0,
971,been here since ,0,
973,yes you did fam,1,
974,just checkin if ive verified properly,0,
975, should be,0,
976,its a sol mint,0,1
977,oh alright try to open a ticket and send us your wallet adress ,0,
978,h,0,
979,what time in mint for uk people,0,1
980,also wasnt a mint based with whoop ,0,
981, will you guys have alpha call for holders of new collection,0,
982,gmm,0,
983,dont remember the number and cant check right now as its on my computer and not on the phone wallet,-1,
985,gm,0,
986,ty,0,
987,aight,0,
988,hello good morning,1,
989,in theory yes,0,
990,so it can be sold out in wl,0,1
991,i see,0,
992,keep on going,1,
994,how many wl drop,0,1
996,how do i verify if imh a holder beenm holding for a long time now just been mia,0,
997,whats the  of the boho,0,
998,gm ,0,
999,so cheap the token on fff weird,-1,1
1000,gm,0,
1001,i havent received the talisman yet i have my guru bohemia staked since day ,0,
1002,whats up fam,0,
1003,receive mine,0,
1004,excited,1,1
1005,yo guys i need some help,0,
1006,hu,0,
1007,what about love letters,0,
1008,gm,0,
1009, powerful things,0,
1010,woop woop,0,1
1011,i dnt belive in magic but i belive in fabulous and ayahuasca       ,1,1
1012,there are many members who trying hard,0,
1014,i saw that  it says the one won wl yesterday their tokens are been given now m ,0,1
1015,nope please see ,0,
1016, all token for talisman master given out ,0,1
1017,soooo stoked,1,1
1018,ei guys r u excited for fabulosa  ,1,1
1019,only rent if you want to stake for woop then we recommend buying a bohemian,0,
1020,i didnt got my talisman,-1,-1
1021,thanks,0,
1022,so that s noon est right,0,
1024,can we stake our fabulosa nft in order to yield woop a considerated woop amount is necessary to cast spells with fabulosa participates in raffles,0,1
1025,token address ,0,1
1026,hello,0,
1027,is it one per tel,0,
1028,how many can we mint,0,1
1029,yoo,0,
1031,wagmi,0,1
1032, ,0,
1033,wassup everyone,0,
1035,from bohemia,0,
1036, will fabulosa dao will be different,0,1
1037,you don t seem to have a role for it so i m not sure if you do,0,
1038,you should have the talisman in your wallet,0,
1039,hi how can i know if i got wl for fabulousa,0,1
1040,imagine selling your talisman for  and missing out  ,-1,-1
1041,hey,0,
1042,for bohemia holders only,0,
1043,when public,0,1
